fecha,"IPC General histórico, variación mensual","IPC sin volátiles, variación mensual","Velocidad de expansión (porcentaje), referencia 2018",Tasa de desempleo mensual nacional INE (porcentaje),Precio del cobre refinado BML (dólares/libra),Precio del petróleo WTI (dólares/barril),"IPC Energía volátiles, variación mensual","Índice de producción industrial, minería, INE (base 2014=100)","Índice de producción industrial, manufacturera, INE (base 2014=100)"
2008-07-01,1.1,0.4942968956479,0.1957189593536,,3.81658350721219,133.38,2.0893199786383,86.8140916153951,96.5026769101007
2008-08-01,0.9,0.4913516166533,-0.297563394581,,3.46307720221355,116.64,3.38658719369653,84.7665894546546,90.5764363480193
2008-09-01,1.1,0.5296857589422,-0.814893415192,,3.17103329402159,103.94,2.53269258185782,85.9131906646693,89.4789857979315
2008-10-01,0.9,0.6097790727665,-1.593124097131,,2.23428286310442,76.61,0.732175023150927,90.253895245439,98.1854400765995
2008-11-01,-0.1,0.819947339073,-1.036522017298,,1.68602013970788,57.29,-8.01491784073638,87.7968926525505,91.4543985743329
2008-12-01,-1.2,0.4052229393445,-0.803044187957,,1.39344098702713,41.44,-11.4048425502473,95.9869012955123,93.4298113507649
2009-01-01,-0.8,0.2530212965309,-0.77016596024,,1.46089540052617,41.74,-5.94300839590758,84.0098569023992,89.2015647026572
2009-02-01,-0.4,0.2721683970728,-0.463285271751,,1.50354712873084,39.15,2.94140348220131,74.7863910468616,86.0474362486239
2009-03-01,0.4,1.1338900656146,-0.486364714091,,1.7008754422571,47.98,-1.02387399065728,86.1269044559814,96.0890768886158
2009-04-01,-0.2,-0.108922310306,-0.207925912986,,1.99879796788533,49.81,0.799802486882428,84.5197705216262,88.0222361461055
2009-05-01,-0.3,0.0879006255564,-0.607994671224,,2.07231697360065,59.12,0.563541461543626,89.1277623926833,84.4973834828054
2009-06-01,0.3,0.0238856902011,-0.582358635947,,2.27431280050803,69.62,5.18661091339663,92.3308322832867,84.0818178031846
2009-07-01,-0.4,-0.261500748299,-0.332585541208,,2.36575342465753,64.12,-0.90106781197441,83.4043908036615,86.8919684865634
2009-08-01,-0.4,-0.211766817329,0.3021326351852,,2.79656173455502,71.06,-4.34251139159015,91.667560985226,86.3889585691695
2009-09-01,1,0.179551672599,1.1963927093188,,2.8106822099247,69.44,8.32519997243586,92.6002956598932,84.5370315606755
2009-10-01,0,-0.008363845829,1.6636403092412,,2.85220901750884,75.77,-0.944466144823952,98.5145226010738,93.6655058429425
2009-11-01,-0.5,-0.095701657285,1.592629903248,,3.02803229610814,78,-1.74052263190864,92.8117816036912,92.4970307925861
2009-12-01,-0.3,-0.134901316381,1.230024511347,,3.1668828812483,74.49,-1.5256122294442,98.4865582179827,92.6091888813052
2010-01-01,0.5,-0.097515339425,1.0901445673118,,3.3503810215005,78.36,0.710758393336874,83.5837962099942,87.6338102374405
